Date,Open,High,Low,Close,Adj Close,Volume
2015-05-11,null,null,null,null,null,null
2015-05-18,17.879999,18.200001,17.760000,17.830000,17.830000,27826800
2015-05-25,17.719999,18.620001,17.709999,18.270000,18.270000,74057200
2015-06-01,18.360001,18.610001,17.719999,17.850000,17.850000,35501100
2015-06-08,17.820000,17.920000,17.360001,17.559999,17.559999,49759400
2015-06-15,17.420000,18.090000,17.209999,17.840000,17.840000,57369000
2015-06-22,17.930000,18.350000,17.850000,18.090000,18.090000,42950000
2015-06-29,17.910000,18.250000,17.480000,17.570000,17.570000,41010800
2015-07-06,17.420000,17.830000,17.389999,17.600000,17.600000,43696800
2015-07-13,17.790001,17.990000,17.570000,17.940001,17.940001,31704900
2015-07-20,17.920000,18.110001,17.250000,17.360001,17.360001,47580500
2015-07-27,17.340000,17.570000,16.959999,17.340000,17.340000,39729200
2015-08-03,17.379999,17.750000,16.990000,17.290001,17.290001,41504500
2015-08-10,17.410000,17.559999,16.750000,17.430000,17.430000,32386100
2015-08-17,17.320000,17.629999,16.320000,16.350000,16.350000,38048100
2015-08-24,15.380000,17.150000,14.180000,17.070000,17.070000,54435700
2015-08-31,17.040001,17.129999,15.960000,16.240000,16.240000,35375200
2015-09-07,16.540001,17.120001,16.450001,16.889999,16.889999,30596400
2015-09-14,16.870001,17.430000,16.660000,16.750000,16.750000,39576000
2015-09-21,16.879999,17.030001,16.260000,16.309999,16.309999,37935600
2015-09-28,16.370001,16.930000,15.730000,16.920000,16.920000,57751500
2015-10-05,17.379999,17.480000,16.420000,16.879999,16.879999,54062000
2015-10-12,16.840000,17.190001,16.540001,17.070000,17.070000,35317100
2015-10-19,17.070000,17.299999,16.270000,16.730000,16.730000,50834600
2015-10-26,16.730000,18.410000,16.610001,18.280001,18.280001,69103800
2015-11-02,18.280001,19.059999,18.230000,18.780001,18.780001,52063200
2015-11-09,18.670000,18.889999,17.500000,17.510000,17.510000,54233900
2015-11-16,17.520000,17.980000,17.459999,17.870001,17.870001,46923800
2015-11-23,17.850000,18.580000,17.830000,18.330000,18.330000,30964500
2015-11-30,18.400000,18.620001,17.990000,18.510000,18.510000,36953200
2015-12-07,18.450001,18.850000,18.000000,18.100000,18.100000,51675100
2015-12-14,18.150000,18.940001,18.129999,18.190001,18.190001,47474500
2015-12-21,18.309999,18.840000,18.020000,18.719999,18.719999,19463600
2015-12-28,18.639999,18.860001,18.440001,18.440001,18.440001,17628800
2016-01-04,18.160000,18.270000,17.370001,17.430000,17.430000,41490400
2016-01-11,17.480000,18.379999,16.950001,17.870001,17.870001,75663100
2016-01-18,18.030001,18.330000,16.870001,17.850000,17.850000,44004100
2016-01-25,17.809999,17.969999,16.680000,17.530001,17.530001,48730200
2016-02-01,17.450001,18.020000,16.580000,16.620001,16.620001,89244900
2016-02-08,16.450001,17.260000,15.670000,16.639999,16.639999,62003400
2016-02-15,16.780001,17.700001,16.620001,17.160000,17.160000,33098800
2016-02-22,17.160000,17.540001,17.080000,17.209999,17.209999,43591500
2016-02-29,17.170000,17.610001,16.820000,17.440001,17.440001,42357300
2016-03-07,17.290001,18.090000,17.129999,18.049999,18.049999,37997300
2016-03-14,17.900000,18.299999,17.580000,18.120001,18.120001,38129000
