Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,53.099998,54.080002,53.009998,54.000000,52.312908,1525600
2017-11-06,54.000000,54.650002,53.900002,54.000000,52.312908,501200
2017-11-13,null,null,null,null,null,null
2017-11-20,null,null,null,null,null,null
2017-11-27,null,null,null,null,null,null
2017-12-04,null,null,null,null,null,null
2017-12-11,null,null,null,null,null,null
2017-12-18,null,null,null,null,null,null
2017-12-25,null,null,null,null,null,null
2018-01-01,null,null,null,null,null,null
2018-01-08,null,null,null,null,null,null
2018-01-15,null,null,null,null,null,null
2018-01-22,null,null,null,null,null,null
2018-01-29,null,null,null,null,null,null
2018-02-05,null,null,null,null,null,null
2018-02-12,null,null,null,null,null,null
2018-02-19,null,null,null,null,null,null
2018-02-26,null,null,null,null,null,null
2018-03-05,null,null,null,null,null,null
2018-03-12,null,null,null,null,null,null
2018-03-19,null,null,null,null,null,null
2018-03-26,null,null,null,null,null,null
2018-04-02,null,null,null,null,null,null
2018-04-09,null,null,null,null,null,null
2018-04-16,null,null,null,null,null,null
2018-04-23,null,null,null,null,null,null
2018-04-30,null,null,null,null,null,null
2018-05-07,null,null,null,null,null,null
2018-05-14,null,null,null,null,null,null
2018-05-21,54.189999,56.310001,53.889999,56.150002,54.395744,2215000
2018-05-28,55.700001,57.439999,55.020000,55.080002,53.359169,8186500
2018-06-04,55.240002,55.480000,51.259998,51.320000,50.073353,62479300
2018-06-11,51.459999,53.160000,50.889999,52.779999,51.497887,15959000
2018-06-18,52.779999,54.770000,52.259998,54.439999,53.117561,10077100
2018-06-25,54.360001,56.290001,54.029999,56.150002,54.786026,8972600
2018-07-02,56.139999,57.090000,55.959999,56.759998,55.381203,5567900
2018-07-09,56.700001,56.740002,54.169998,55.910000,54.551853,6459000
2018-07-16,55.759998,56.580002,55.180000,55.709999,54.356712,4326100
2018-07-23,55.790001,55.880001,54.369999,55.330002,53.985947,6923200
2018-07-30,55.299999,56.639999,54.820000,56.180000,54.815292,5192800
2018-08-06,56.169998,57.990002,55.509998,57.680000,56.278858,6800300
2018-08-13,57.450001,58.220001,57.009998,57.869999,56.464241,10047200
2018-08-20,57.869999,58.240002,56.610001,57.450001,56.054447,6581000
2018-08-27,57.430000,57.759998,56.270000,57.049999,55.664162,7115100
2018-09-03,57.270000,59.279999,57.029999,58.299999,57.346920,6165300
2018-09-10,58.430000,58.980000,57.279999,57.759998,56.815746,6634300
2018-09-17,57.919998,58.130001,55.270000,55.869999,54.956646,16149300
2018-09-24,55.950001,55.980000,54.189999,54.919998,54.022175,12245500
2018-10-01,54.959999,55.869999,54.259998,55.720001,54.809097,7546400
2018-10-08,55.759998,56.970001,54.889999,55.619999,54.710732,9612300
2018-10-15,55.639999,57.180000,55.380001,57.020000,56.087845,6746500
2018-10-22,57.020000,57.689999,55.580002,56.119999,55.202560,7538000
2018-10-29,56.200001,57.049999,55.410000,55.830002,54.917301,7617700
2018-11-05,55.630001,58.509998,55.580002,58.349998,57.396099,6879500
2018-11-12,58.200001,61.099998,58.139999,60.119999,59.137169,8590800
2018-11-19,60.049999,60.660000,57.939999,58.730000,57.769894,4779100
2018-11-26,58.570000,59.990002,58.110001,59.369999,58.399429,8304200
2018-12-03,59.200001,60.959999,58.680000,60.310001,59.797619,7039200
2018-12-10,60.299999,61.000000,59.029999,60.540001,60.025665,8211000
2018-12-17,60.730000,60.939999,57.110001,58.279999,57.784863,14426000
2018-12-24,58.450001,58.830002,55.180000,56.529999,56.049732,6537400
2018-12-31,56.619999,56.820000,55.130001,55.889999,55.415169,7033000
2019-01-07,55.549999,57.150002,55.389999,56.470001,55.990242,8177200
2019-01-14,56.209999,57.009998,55.330002,56.660000,56.178627,11940900
2019-01-21,56.740002,57.860001,56.320000,56.779999,56.297607,6983400
2019-01-28,56.900002,57.639999,55.959999,57.220001,56.733871,7686700
2019-02-04,56.980000,58.230000,56.380001,58.099998,57.606392,6884100
2019-02-11,57.889999,58.990002,57.880001,58.770000,58.270702,6014200
2019-02-18,58.970001,59.939999,54.570000,55.490002,55.018570,11723900
2019-02-25,55.279999,56.320000,54.580002,55.029999,54.562473,11439600
2019-03-04,55.580002,55.980000,54.599998,55.759998,55.759998,10964300
2019-03-11,55.849998,57.930000,55.750000,57.669998,57.669998,13257200
2019-03-18,57.459999,58.439999,56.020000,58.000000,58.000000,8173200
2019-03-25,58.099998,58.590000,57.560001,58.049999,58.049999,6984000
2019-04-01,57.980000,58.200001,56.330002,57.320000,57.320000,8354500
2019-04-08,57.360001,57.810001,56.799999,57.720001,57.720001,6540700
2019-04-15,57.790001,58.090000,56.419998,56.570000,56.570000,6155500
2019-04-22,56.770000,57.990002,56.330002,57.160000,57.160000,8876600
2019-04-29,57.099998,57.959999,56.689999,57.599998,57.599998,7771500
2019-05-06,57.779999,58.480000,56.650002,58.119999,58.119999,8892600
2019-05-13,58.060001,59.020000,57.830002,58.700001,58.700001,6803900
2019-05-17,58.029999,59.020000,57.889999,58.700001,58.700001,1088108
