Date,Open,High,Low,Close,Adj Close,Volume
2015-05-11,null,null,null,null,null,null
2015-05-18,42.639999,42.959999,42.110001,42.400002,37.857960,6070900
2015-05-25,42.400002,42.740002,41.430000,41.509998,37.063290,6771000
2015-06-01,42.230000,42.549999,41.299999,41.889999,37.402588,7054400
2015-06-08,41.799999,42.400002,41.439999,42.029999,37.527599,6812000
2015-06-15,41.799999,43.459999,41.360001,42.980000,38.375824,8715700
2015-06-22,43.299999,43.500000,42.630001,43.099998,38.482964,6486700
2015-06-29,42.830002,42.869999,41.700001,42.099998,37.590096,7452300
2015-07-06,41.860001,42.790001,41.779999,42.330002,37.795460,10294200
2015-07-13,42.610001,42.880001,40.970001,41.860001,37.375809,18922500
2015-07-20,41.919998,42.360001,39.750000,40.060001,35.768627,13476200
2015-07-27,40.060001,42.029999,39.730000,41.860001,37.636658,9759900
2015-08-03,41.759998,41.959999,39.680000,40.000000,35.964302,11383000
2015-08-10,40.299999,40.810001,39.500000,40.209999,36.153126,9326300
2015-08-17,40.029999,40.790001,39.060001,39.180000,35.227047,10898200
2015-08-24,37.930000,39.070000,36.910000,38.689999,34.786476,21861600
2015-08-31,38.459999,38.880001,37.099998,37.500000,33.716541,11615600
2015-09-07,38.090000,39.240002,38.000000,38.669998,34.768497,8139000
2015-09-14,38.590000,38.970001,37.130001,37.180000,33.428829,14078500
2015-09-21,37.340000,37.619999,35.980000,36.709999,33.006252,8809600
2015-09-28,36.639999,37.250000,34.450001,35.980000,32.349899,19319900
2015-10-05,36.110001,39.389999,36.070000,38.980000,35.047222,16171400
2015-10-12,39.169998,39.169998,37.070000,37.490002,33.707554,21586100
2015-10-19,37.299999,38.860001,36.669998,38.750000,34.840424,13990700
2015-10-26,38.619999,39.340000,37.660000,39.160000,35.466862,10928500
2015-11-02,39.180000,41.639999,39.099998,41.080002,37.205799,15022200
2015-11-09,40.980000,40.990002,38.459999,38.599998,34.959679,14873300
2015-11-16,38.570000,40.090000,38.500000,39.709999,35.965004,8996200
2015-11-23,39.639999,40.410000,39.279999,40.330002,36.526531,6444200
2015-11-30,40.410000,41.099998,39.150002,40.139999,36.354443,12998600
2015-12-07,40.110001,40.919998,39.270000,39.470001,35.747627,11442400
2015-12-14,39.610001,40.540001,39.029999,39.090000,35.403465,14484200
2015-12-21,39.230000,41.759998,38.439999,41.509998,37.595242,10579400
2015-12-28,41.389999,41.959999,40.799999,40.820000,36.970310,6784900
2016-01-04,40.240002,40.560001,38.650002,38.799999,35.140823,16762000
2016-01-11,39.000000,39.770000,35.099998,37.669998,34.117390,32193700
2016-01-18,38.049999,38.439999,35.180000,37.980000,34.398155,18373500
2016-01-25,37.820000,40.560001,36.759998,40.560001,36.734833,19331300
2016-02-01,42.200001,44.439999,38.480000,43.259998,39.491814,27269800
2016-02-08,42.919998,44.250000,40.959999,43.040001,39.290977,22471600
2016-02-15,43.759998,45.110001,43.049999,44.650002,40.760746,10625100
2016-02-22,45.049999,45.650002,43.430000,45.220001,41.281094,10723600
2016-02-29,45.250000,47.160000,44.709999,46.220001,42.193989,18051400
2016-03-07,45.970001,47.349998,45.549999,46.860001,42.778240,13369100
2016-03-14,46.830002,49.200001,45.180000,49.049999,44.777470,14055300
2016-03-21,49.029999,49.990002,48.430000,48.900002,44.640541,9609500
2016-03-28,49.049999,49.290001,47.570000,48.930000,44.667927,11390300
2016-04-04,48.750000,48.770000,46.130001,47.130001,43.024719,16443100
2016-04-11,47.310001,47.619999,45.000000,45.810001,41.819702,19422400
2016-04-18,45.750000,46.660000,45.150002,45.630001,41.655373,8871200
2016-04-25,45.500000,47.990002,45.439999,46.790001,42.997334,17930900
2016-05-02,46.930000,47.040001,45.290001,46.490002,42.721657,14673600
2016-05-09,46.450001,46.799999,45.230000,45.480000,41.793522,11179700
2016-05-16,45.619999,46.099998,44.099998,44.860001,41.223778,11758300
2016-05-23,44.900002,46.200001,44.709999,46.000000,42.271374,9172100
2016-05-30,46.099998,46.599998,45.470001,46.200001,42.455158,8615100
2016-06-06,45.639999,46.130001,44.279999,44.570000,40.957283,12341300
2016-06-13,44.400002,44.799999,43.529999,44.470001,40.865387,12642100
2016-06-20,45.139999,45.630001,43.509998,43.750000,40.203751,11322800
